O_ORDERKEY | O_CUSTKEY | O_ORDERSTATUS | O_TOTALPRICE | O_ORDERDATE | O_ORDERPRIORITY | O_CLERK | O_SHIPPRIORITY | O_COMMENT
12001|223|F|112161.41|1994-07-07|2-HIGH|Clerk#000000863|0|old, even theodolites. regular, special theodolites use furio
12002|248|F|63477.29|1993-11-30|3-MEDIUM|Clerk#000000431|0| regular packages wake qui
12003|362|O|14247.25|1998-05-24|1-URGENT|Clerk#000000708|0|s along the quickly regular instructions haggle carefully furiously u
12004|197|F|52874.01|1994-12-05|3-MEDIUM|Clerk#000000633|0|nis against the slyly specia
12005|331|F|212051.00|1992-06-25|4-NOT SPECIFIED|Clerk#000000904|0| after the ironic, unusua
12006|284|O|122900.32|1997-06-02|4-NOT SPECIFIED|Clerk#000000501|0|n packages. carefully ironic accounts are after the pending platele
12007|184|F|182354.56|1994-09-28|4-NOT SPECIFIED|Clerk#000000363|0|even requests wake carefully unusual packages. quickly
12032|271|O|92739.94|1997-08-10|4-NOT SPECIFIED|Clerk#000000349|0| after the even, regular instructions. blithe tithes use furiously. b
12033|100|F|176427.33|1992-09-12|2-HIGH|Clerk#000000274|0| bold pearls haggle. carefully ironic pinto beans cajole. blit
12034|37|O|75832.20|1996-12-08|2-HIGH|Clerk#000000363|0|ges. deposits sleep slyly. ideas sleep
12035|304|O|209794.09|1996-11-09|5-LOW|Clerk#000000963|0|furiously special instructions. pending deposits nod. blithely unusual pint
12036|253|O|223966.56|1998-01-16|5-LOW|Clerk#000000041|0|ic requests. unusual pinto beans sleep fluffily about the furiously regular 
12037|439|O|127940.43|1995-07-01|5-LOW|Clerk#000000375|0|pending foxes shall cajol
12038|49|O|45077.62|1995-11-10|2-HIGH|Clerk#000000587|0|ironic asymptotes mainta
12039|376|F|282984.80|1993-06-17|2-HIGH|Clerk#000000765|0|packages integrate c
12064|13|F|120069.70|1992-09-16|5-LOW|Clerk#000000994|0| blithely quickly pending t
12065|167|O|64466.18|1997-01-30|4-NOT SPECIFIED|Clerk#000000064|0|the final deposits boost pending deposits. pending
12066|320|F|150254.95|1995-02-07|3-MEDIUM|Clerk#000000084|0|heodolites cajole a
12067|77|F|202168.16|1993-02-05|1-URGENT|Clerk#000000019|0|requests. quickly regular packages run f
12068|370|O|17975.23|1996-05-08|2-HIGH|Clerk#000000402|0|ctions. furiously even accounts 
12069|415|O|203134.83|1995-11-08|2-HIGH|Clerk#000000460|0|ong the pinto beans. deposits among the excuses cajole
12070|224|O|239826.50|1998-05-23|5-LOW|Clerk#000000287|0|bold pinto beans hagg
12071|287|O|70583.07|1998-06-26|1-URGENT|Clerk#000000205|0|ly bold multipliers cajole quickly re
12096|302|F|202912.17|1992-09-20|3-MEDIUM|Clerk#000000156|0|hely final requests kindle among the regular foxes. orb
12097|37|F|133126.34|1993-11-10|1-URGENT|Clerk#000000239|0|out the slyly regular theodolites. regularly reg
12098|398|F|32537.50|1993-05-01|2-HIGH|Clerk#000000214|0| carefully ironic, express deposits. ideas are slyly a
12099|34|F|193307.56|1994-09-12|1-URGENT|Clerk#000000042|0|furiously regular accounts haggle quic
12100|391|O|53006.78|1996-03-15|2-HIGH|Clerk#000000518|0|ress frays use blithely pending requests-- quickly regular somas acros
12101|226|F|101998.12|1995-01-07|1-URGENT|Clerk#000000853|0|fily regular packages w
12102|379|O|175391.35|1995-11-18|3-MEDIUM|Clerk#000000981|0|eposits are blithely along
12103|70|O|123241.50|1996-11-25|3-MEDIUM|Clerk#000000605|0|ironic foxes. quickly brave pinto beans 
12128|358|O|122627.14|1997-06-27|4-NOT SPECIFIED|Clerk#000000102|0|yly across the furiously ironic accounts. carefully special real
12129|125|F|82525.74|1992-12-26|3-MEDIUM|Clerk#000000119|0|dencies cajole furiously about the 
12130|379|O|137647.98|1995-12-10|4-NOT SPECIFIED|Clerk#000000894|0|according to the even, regular packages. furiously unusual pinto beans wake 
12131|352|O|228958.15|1998-06-29|3-MEDIUM|Clerk#000000074|0|ironic ideas. blithely unus
12132|383|O|216031.94|1996-09-06|1-URGENT|Clerk#000000831|0|ptotes boost permanently. carefully unusual instr
12133|109|F|46489.52|1992-04-15|1-URGENT|Clerk#000000634|0|st after the furiously special 
12134|107|O|50950.19|1996-05-31|3-MEDIUM|Clerk#000000868|0|blithely blithely regular theodolites. slyly even packages nag slyly slyly e
12135|427|O|233036.23|1995-10-10|5-LOW|Clerk#000000246|0|ual excuses alongside of th
12160|427|F|64280.86|1993-12-13|5-LOW|Clerk#000000707|0|ully about the furiously ironic braids-- carefully en
12161|392|O|176408.16|1997-03-15|4-NOT SPECIFIED|Clerk#000000382|0|le blithely across the blithely slow fox
12162|367|O|33859.54|1997-03-18|3-MEDIUM|Clerk#000000066|0| players according to the fluffily ironic dolphins cajole slyly spe
12163|26|O|202090.33|1997-07-20|5-LOW|Clerk#000000951|0|se furiously carefully special pinto beans. blithely special 
12164|394|F|157355.49|1993-10-17|1-URGENT|Clerk#000000148|0|ests. instructions haggle blithely express dependencies. furiously bold war
12165|448|F|145481.61|1994-04-11|5-LOW|Clerk#000000091|0|nic pinto beans boost carefully 
12166|19|F|15419.28|1995-03-15|4-NOT SPECIFIED|Clerk#000000469|0|of the slyly even pinto bean
12167|28|O|49955.80|1998-05-31|1-URGENT|Clerk#000000618|0|counts. bravely special pac
12192|83|F|17572.51|1994-10-19|1-URGENT|Clerk#000000387|0| bold ideas boost slyly slyly final frays. carefully unusual pinto b
12193|241|O|136292.60|1996-07-28|3-MEDIUM|Clerk#000000559|0|y. blithely final pinto beans according to the theodolites haggle care
12194|82|F|46777.42|1995-03-02|1-URGENT|Clerk#000000922|0|atelets haggle among the regular accounts. furiously even plate
12195|22|O|97118.97|1997-04-27|4-NOT SPECIFIED|Clerk#000000947|0|iously silent foxes eat carefull
12196|379|F|69108.08|1993-06-03|4-NOT SPECIFIED|Clerk#000000284|0|e furiously ironic ideas affix fluffily above the quickly
12197|175|O|161970.41|1997-06-27|2-HIGH|Clerk#000000976|0|ular packages affix upon the slyly
12198|391|F|52974.38|1993-02-28|3-MEDIUM|Clerk#000000917|0| ironic deposits. furiously express escapades detect
12199|157|O|80723.33|1995-12-15|5-LOW|Clerk#000000478|0|he ironic accounts. ideas detect. slyly final packa
12224|194|F|169192.06|1994-12-13|2-HIGH|Clerk#000000672|0|. slyly final accounts boost. blithely express deposits haggle sl
12225|197|O|150353.85|1997-01-29|2-HIGH|Clerk#000000903|0|ons. blithely bold requests are carefu
12226|406|O|103135.02|1998-04-01|5-LOW|Clerk#000000415|0| across the final instructi
12227|385|O|211446.72|1998-06-27|3-MEDIUM|Clerk#000000980|0| packages. quickly ironic accounts affix quickly. ironic, even packages
12228|68|F|206209.32|1994-06-26|4-NOT SPECIFIED|Clerk#000000474|0|fully regular excuses? ironic foxes are across the dogge
12229|376|O|89020.03|1996-07-24|1-URGENT|Clerk#000000293|0|ptotes boost slyly even accounts. 
