L_ORDERKEY | L_PARTKEY | L_SUPPKEY | L_LINENUMBER | L_QUANTITY | L_EXTENDEDPRICE | L_DISCOUNT | L_TAX | L_RETURNFLAG | L_LINESTATUS | L_SHIPDATE | L_COMMITDATE | L_RECEIPTDATE | L_SHIPINSTRUCT | L_SHIPMODE | L_COMMENT
5987|67|26|1|1|967.06|0.01|0.04|N|O|1996-09-13|1996-10-29|1996-09-21|DELIVER IN PERSON|REG AIR|refully final excuses haggle furiously ag
5987|526|5|2|20|28530.40|0.10|0.06|N|O|1996-11-28|1996-09-17|1996-12-05|TAKE BACK RETURN|RAIL|ing excuses nag quickly always bold
5987|274|5|3|43|50493.61|0.08|0.04|N|O|1996-10-30|1996-10-13|1996-11-12|NONE|AIR|theodolites wake above the furiously b
5987|289|8|4|37|44003.36|0.08|0.08|N|O|1996-10-15|1996-10-27|1996-11-09|NONE|MAIL|le furiously carefully special 
5988|516|25|1|41|58076.91|0.08|0.03|R|F|1994-01-20|1994-02-06|1994-02-10|COLLECT COD|AIR|the pending, express reque
5989|236|9|1|46|52266.58|0.09|0.05|N|O|1996-01-28|1995-11-26|1996-02-27|NONE|SHIP|ncies cajole. furiously 
5989|337|26|2|41|50730.53|0.04|0.08|N|O|1996-01-29|1995-12-26|1996-02-20|DELIVER IN PERSON|SHIP|quickly ironic packages. special orbits
5989|452|3|3|49|66270.05|0.05|0.05|N|O|1995-11-20|1995-11-22|1995-11-30|NONE|AIR|ven requests use slyly care
5989|547|23|4|31|44873.74|0.03|0.06|N|O|1996-01-23|1996-01-04|1996-02-20|TAKE BACK RETURN|TRUCK|anent instructions. furiousl
5989|229|4|5|26|29359.72|0.09|0.03|N|O|1995-11-22|1995-12-07|1995-12-14|COLLECT COD|RAIL|ial dolphins sleep fluffily final accoun
5989|136|17|6|32|33156.16|0.10|0.00|N|O|1995-11-21|1995-12-09|1995-12-21|TAKE BACK RETURN|MAIL|lar requests. d
5989|18|3|7|32|29376.32|0.02|0.00|N|O|1996-01-23|1995-11-22|1996-01-31|NONE|AIR|ly pending instruction
5990|387|6|1|31|39908.78|0.00|0.06|A|F|1993-06-02|1993-06-02|1993-06-30|NONE|SHIP| deposits cajole carefully above the care
5990|597|24|2|28|41932.52|0.00|0.01|A|F|1993-04-22|1993-05-16|1993-05-16|COLLECT COD|AIR|s! always pending requests according to the
5990|241|2|3|44|50214.56|0.01|0.06|R|F|1993-06-22|1993-05-21|1993-06-28|NONE|FOB|packages. carefully ironic ideas
5991|495|2|1|4|5581.96|0.06|0.01|R|F|1994-08-13|1994-06-30|1994-08-20|COLLECT COD|TRUCK|le blithely deposits. bold platelets
5991|34|13|2|30|28020.90|0.10|0.04|A|F|1994-05-21|1994-08-01|1994-06-02|TAKE BACK RETURN|MAIL|ze about the unusual pinto beans. slyly r
5991|138|11|3|10|10381.30|0.03|0.03|A|F|1994-05-29|1994-06-30|1994-06-13|TAKE BACK RETURN|AIR|rs. final pinto beans was ev
6016|434|27|1|14|18682.02|0.01|0.08|A|F|1992-04-13|1992-04-11|1992-04-18|NONE|MAIL|sleep carefully af
6016|62|21|2|50|48103.00|0.08|0.03|R|F|1992-04-29|1992-04-12|1992-05-27|NONE|FOB| wake blithel
6016|146|27|3|20|20922.80|0.10|0.01|A|F|1992-04-18|1992-03-23|1992-05-11|TAKE BACK RETURN|SHIP|dolites cajole quickly. foxes u
6017|596|27|1|13|19455.67|0.10|0.08|R|F|1995-03-19|1995-03-05|1995-04-04|COLLECT COD|MAIL|around the furiously 
6017|411|22|2|44|57702.04|0.05|0.01|A|F|1995-03-20|1995-04-09|1995-04-18|TAKE BACK RETURN|REG AIR|he quickly ironic r
6017|72|13|3|19|18469.33|0.06|0.06|R|F|1995-03-18|1995-03-28|1995-04-05|DELIVER IN PERSON|REG AIR|symptotes accordin
6017|76|5|4|29|28306.03|0.07|0.03|R|F|1995-02-16|1995-03-16|1995-03-13|DELIVER IN PERSON|RAIL|ickly unusual requests. reque
6017|471|22|5|9|12343.23|0.02|0.01|R|F|1995-02-08|1995-03-12|1995-03-06|TAKE BACK RETURN|REG AIR|efully silent requ
6018|347|18|1|2|2494.68|0.07|0.06|R|F|1992-09-09|1992-10-29|1992-09-16|TAKE BACK RETURN|MAIL|quests integrate careful
6018|386|27|2|17|21868.46|0.09|0.07|R|F|1992-09-17|1992-11-17|1992-10-08|COLLECT COD|RAIL|cial accounts. r
6019|121|24|1|28|28591.36|0.05|0.03|A|F|1993-08-14|1993-10-28|1993-08-18|TAKE BACK RETURN|SHIP|asymptotes
