PS_PARTKEY | PS_SUPPKEY | PS_AVAILQTY | PS_SUPPLYCOST | PS_COMMENT
201|22|8649|280.98|ainst the furiously even platelets nag carefully across the pending foxes. sly, regular instructions are carefully ins
201|5|2078|340.49| across the quickly special accounts. special accounts are blithely about the fluffily final deposits. silent packages haggle about the ironic packages. blithely ironic deposits boost
201|18|4125|534.11|uctions sleep slyly final theodolites. ironic, regular pinto beans along the sly
201|1|848|947.59| doubt furiously unusual accounts. furiously ironic packages are ironic, even accounts. furiously silent 
202|23|7822|247.44| even pinto beans haggle. carefully ironic accounts
202|6|3182|180.81|uriously stealthy pinto beans along the silent deposits detect quickly about the express requests. slyly thin foxes are quickly. unusual, 
202|19|2720|160.45|ickly for the deposits. quickly pending deposits haggle ironically. slyly final instructions sleep carefully furiously regular attainments. furious
202|2|6202|656.17|symptotes nod. slyly regular requests sleep quickly along the regular instructions. regular accounts alongside of the express packages detect even, ironic deposits. requests cajole furiously abo
203|24|1677|399.16|ll detect slyly across the ironic, even packages. final deposits haggle. even ideas wake ruthlessly above
203|7|3591|582.85| bold instructions hinder ironic, special pinto beans. final deposits x-ray across the regular deposi
203|20|6239|882.46|bout the blithely permanent asymptotes. slyly ironic dependencies haggle slyly against the blithely even deposi
203|3|5644|489.27|ts nag carefully after the even requests. furiously silent accounts cajole. dolphins haggle furiously. carefully ironi
204|25|9265|504.61|ructions. pending, regular deposits around the slyly pending asymptotes sleep slyly regular, express theodolites. fluffily special excuses a
204|8|2203|609.26|lyly. blithely even accounts against the furiously silent instructions are carefully along the slyly ironic theodolites. slyly bold pinto beans caj
204|21|6344|172.65| theodolites. final accounts wake after the quickly even dependencies! furi
204|4|1238|819.14|e slyly quickly permanent accounts; slyly bold requests sleep express requests-- final excuses snooze above the fl
205|26|9942|226.71|onic depths haggle. always final packages wake slyly along the slyly bold gifts. fluffily unusual requests poach quickly. slyly silent 
205|9|7965|427.25|ut the quickly unusual instructions. sly, regular requests haggle blithely blithely regular deposits. dogged deposits haggle quietly above the pending, regular packages
205|22|1974|217.01|ress, final packages hinder blithely special pinto beans
205|5|9207|123.08|leep. slyly pending ideas detect furiously alongside of the silent, regular 
206|27|1961|936.54|hely pending courts wake stealthily final theodolites. furiously busy packages across the slyly unusual accounts wake according to the blithely pending theodolites. quickly fluffy accounts aga
206|10|425|362.30|ial requests. even theodolites haggle furiously. fluffily pending deposits boost blith
206|23|7816|389.88|daringly. slyly regular foxes believe carefully among the final courts. carefully pending instructions are qui
206|6|548|480.04|slyly quickly silent foxes. even depths sleep according to the fluffily pending fo
207|28|9319|335.16|al pinto beans should grow blithely blithely bold tithes. slyly unusual theodolites nag
207|11|3567|810.91|above the quickly bold deposits. furiously pending deposits nag slyly-- furiou
207|24|9711|673.18|the platelets sleep about the ironic deposits. even accounts wake slyly alongs
207|7|7316|557.72|nic instructions sleep furiously despite the carefully unusual packages. ironically
208|29|7366|135.51|ial instructions wake furiously. regular asymptotes haggle fl
208|12|7251|54.46|pinto beans nag fluffily special ideas. carefully ironic decoys cajole carefully slyly even excuses. regu
208|25|5255|474.75|s cajole quickly. fluffily even requests use furiously above the quiet foxes. fluffily ironi
208|8|7066|309.80|ke. ironic, express instructions with the slyly bold packages haggle carefully bold,
209|30|7176|236.77|otornis wake slyly about the quickly special asymptotes. foxes believe fluffily above the ironic requests. express accounts solve across the express pinto beans. slyly pending foxes run r
209|13|3344|575.01|he quickly regular deposits. carefully regular requests along the requests lose according to the even pinto beans. express courts are slyly 
209|26|5580|81.80|en instructions. carefully regular theodolites solve furiously. pending, regular asymptotes x-ray blithely requests. pinto beans cajole slyly. carefully bold sentiments haggle carefull
209|9|1513|507.38|fily regular pinto beans? blithely regular dependencies cajole ca
210|1|6774|267.01|ermanently final instructions breach across the idly pending theodolites. quickly pending
210|14|8671|377.95| regular packages? final, bold pinto beans use slyly special pac
210|27|6596|817.36|nt accounts lose at the furiously bold platelets. carefully regular pinto beans use. special packages among the d
210|10|4516|259.05|yly bold requests are blithely. packages outside the furiously final ideas x-ray daringly among the even packages. accounts mold blithely about the pending notorn
211|2|4572|475.68|olites haggle slyly according to the regular, even
