S_ID | S_POINT
1000 | (5915332.757174607 -3087350.0240294253)
1001 | (5657811.104651591 -5361102.289897997)
1002 | (5393704.566283131 6424920.49399896)
1003 | (8553892.557676934 -1995575.8005159097)
1004 | (9364237.489939053 -16499.950863238424)
1005 | (-7638556.487861408 2784275.366227083)
1006 | (-5271610.286586197 -6768472.705677133)
1007 | (6935803.926834501 -2635890.2759798933)
1008 | (2660542.100055594 -3336396.1667559613)
1009 | (8093050.112410586 -6165219.7631655745)
1010 | (6305143.331602838 -6260547.069623625)
1011 | (1425829.7184332497 -1824121.9865441425)
1012 | (-7821664.737391816 7292947.436552729)
1013 | (8235238.710664913 -6043595.680710129)
1014 | (2357924.7569881137 5098092.97645225)
1015 | (-222417.5210893415 3253309.1914034225)
1016 | (1601399.6390973274 -2200468.424507291)
1017 | (5392995.179974722 661304.1873811781)
1018 | (4508391.0466462895 -486333.000189418)
1019 | (-8190440.83763466 3994216.6531680804)
1020 | (-1167036.877772605 -4722692.3177404)
1021 | (5700303.247964345 -932009.2961711865)
1022 | (21258.67101920955 -6046969.481987829)
1023 | (-8543720.467646446 6045862.858686402)
1024 | (3683607.7255809866 5141568.804384131)
1025 | (6497102.693385184 6239008.283225635)
1026 | (8056675.751441512 -1559642.7441963125)
1027 | (-1529296.9137269612 -2808908.3578384975)
1028 | (9630823.551545061 -1525391.4488309175)
1029 | (9779017.30254938 -444155.1129804775)
1030 | (-6823688.8366073575 -7569803.841325691)
1031 | (3867303.9591398668 -6083593.6256273575)
1032 | (8195085.249102913 7851968.059057791)
1033 | (2345388.9171480965 -7542936.144522039)
1034 | (-8447749.313292643 -8916643.780690603)
1035 | (2932367.325391449 -7029327.136522146)
1036 | (-8000086.347721053 -8085278.644283758)
1037 | (-3680781.686093253 -3516504.2402378963)
1038 | (6300987.437914051 9122580.378607616)
1039 | (2883869.0263951514 8376455.38543538)
1040 | (5521541.187786279 5533323.579772135)
1041 | (1186633.1884352956 8228872.3233412355)
1042 | (-324988.952777667 9056014.70224281)
1043 | (-9674471.371183056 -9153895.430873517)
1044 | (7966983.439391598 -2549159.672854808)
1045 | (2664843.3898346927 2108032.880872261)
1046 | (7396343.288454421 5962659.794146057)
1047 | (2258804.6849036254 8558570.151216261)
1048 | (-6166498.584178029 -4717775.658543451)
1049 | (-7703220.8152588 3168369.1146405973)
1050 | (-7135235.522057761 5533549.199305259)
1051 | (-456963.12371074036 9413889.82000887)
1052 | (-9898559.731054604 1756842.6630562358)
1053 | (4755362.045952262 -2506459.7845233586)
1054 | (7014568.145420842 -7431536.129584355)
1055 | (-4833402.574372352 -754193.5431714635)
1056 | (-684497.1451055426 -6462833.5400765315)
1057 | (1528770.6286795698 -1369007.6878311858)
1058 | (-1533697.1813788787 8072362.494311061)
1059 | (1691016.4771049526 5881017.342812045)
1060 | (8450780.068449587 7409607.736690711)
1061 | (5842224.640397349 -335965.86914852075)
1062 | (2065531.9433204662 -188238.38965108618)
1063 | (485324.557372259 -3820039.8976972094)
1064 | (8821486.746844191 -4594675.384726086)
1065 | (3536775.794030443 1308914.217157917)
1066 | (7354969.40913593 3204813.8219696283)
1067 | (7181344.023831379 -7231127.348102957)
1068 | (-592980.8304764237 -9074582.019155681)
1069 | (558944.7454131898 5924702.65393332)
1070 | (7329193.590459831 -1302619.1923982836)
1071 | (6250222.713171789 3622025.361257896)
1072 | (1588661.4516813457 607309.3530385327)
1073 | (-9797090.401450409 -2603987.2298356984)
1074 | (-3760507.240689936 -1915805.99957712)
1075 | (-9539166.676545145 -8939651.19154865)
1076 | (496652.8216530625 -6074674.55740728)
1077 | (6686727.068993606 -5745171.288003279)
1078 | (-1447326.9857800044 2309015.0558523573)
1079 | (-3841313.9026485085 -5754931.372584655)
1080 | (2706236.1751046125 -8905503.696786165)
1081 | (-5552571.943800331 -6743153.5537144095)
1082 | (-685466.6669092756 -2950427.7863871222)
1083 | (-2034734.7688436443 7645143.80642233)
1084 | (920025.5340173598 -5124816.2665161565)
1085 | (-3318527.3370641433 6825527.919424389)
1086 | (-9701288.816712536 -1784783.5376405772)
1087 | (-1112626.4218946788 -2643336.2733780807)
1088 | (2054758.3126592785 175139.30807013437)
1089 | (7936997.199524526 7598009.042280629)
1090 | (-1603882.9731637668 -8720238.000139315)
1091 | (4903850.638337199 6231412.691463808)
1092 | (4699244.030517653 -8847133.57539405)
1093 | (-6344722.095890805 3013590.0758228432)
1094 | (1713380.6486165654 3509056.6221641246)
1095 | (2405671.691120755 -8759517.075622637)
1096 | (1469613.7715086937 3319052.114950804)
