10000
1864 271617 265236 1
1864 362598 3402666 1
1864 17576 494317 1
1865 263047 5129587 1
1865 2647905 23487 1
1865 4272801 4982618 1
1865 4914828 4828588 1
1865 448239 492015 1
1865 3709340 471871 1
1866 4948478 294972 1
1866 3965173 3424732 1
1866 272299 4670255 1
1866 3921015 267677 1
1866 3495941 270004 1
1866 9981 3507917 1
1866 4521328 3589558 1
1866 3551932 395015 1
1867 937129 4645440 1
1867 267712 303098 1
1867 272118 561849 2
1867 113591 592526 1
1867 277402 291335 1
1867 274091 567774 1
1867 263859 412532 1
1867 3168073 270010 1
1867 4054529 4588725 1
1868 264600 264251 1
1869 584607 4001630 1
1869 277600 619871 1
1869 266102 4330384 1
1870 4263998 3524116 1
1870 271615 263631 2
1870 145801 3147947 1
1870 3780263 4645372 1
1871 4323134 4083387 1
1871 4154501 264769 1
1871 3964369 397312 1
1872 134834 264740 2
1872 267065 4750450 1
1872 267676 271970 2
1872 275416 270026 1
1872 5033308 4084294 1
1872 3857559 264615 1
1872 266033 1249820 1
1872 251370 263047 1
1872 496855 271670 1
1873 3910331 17638 1
1873 264765 4341941 1
1873 4767766 445047 1
1873 3415387 262800 1
1873 3613373 391713 1
1873 304060 300943 1
1874 265815 3968531 1
1874 245726 265508 2
1874 3877763 3201295 1
1874 406719 272407 1
1874 517869 263343 1
1874 3937342 315579 1
1874 4207493 3937654 1
1874 285689 285076 1
1875 424979 5052169 1
1875 4356127 267581 1
1875 4756009 267580 1
1875 3195118 504051 1
1876 4352180 3974812 1
1876 272167 267083 1
1877 264240 3729637 1
1877 428745 3783952 3
1877 4341841 5080818 1
1878 5069174 259933 1
1878 269330 3422390 1
1878 4348699 4478127 1
1878 440497 268799 1
1878 3990398 277976 1
1879 3988935 500985 1
1879 3297800 434607 1
1879 572091 265296 1
1879 3857753 4658445 1
1879 3354760 445033 1
1879 271951 3772145 1
1879 263323 426202 1
1880 265057 263753 1
1880 4663742 271848 1
1880 272528 264768 1
1880 616240 4587435 1
1881 253517 265743 1
1881 3669448 4885774 3
1881 278667 411169 1
1881 372529 383805 2
1881 272529 263661 1
1881 405431 266022 1
1882 265637 264918 1
1882 3813151 267581 1
1882 427672 100011 1
1882 264765 319335 1
1882 272529 322303 1
1882 297771 313687 1
1883 263016 63640 1
1883 284234 4563375 2
1883 316488 4145041 1
1883 3580809 406718 1
1883 271921 4062792 1
1883 263907 270005 1
